CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM220600019633,HOWARD HUGHES PKWY,,HOWARD HUGHES PKWY,E FLAMINGO RD,,E FLAMINGO RD,2022-06-05T00:00:00.000,2224,LAS VEGAS,CLARK,CLARK,665685.495099999,3998311.3168
LVM190500013932,FARM RD,,FARM RD,N HUALAPAI WAY,,N HUALAPAI WAY,2019-05-03T00:00:00.000,2015,LAS VEGAS,CLARK,CLARK,651303.199199999,4018477.8264
LVM190400077073,MCLEOD DR,,MCLEOD DR,E SUNSET RD,,E SUNSET RD,2019-04-16T00:00:00.000,1259,LAS VEGAS,CLARK,CLARK,669945.718,3993537.76799999
NHP210500781,N KITTYHAWK DR,,N KITTYHAWK DR,OTHER,PRIVATE DRIVE,PRIVATE DRIVE,2021-05-11T00:00:00.000,1549,,NYE,NYE,,
SPPD21-6128,I ST,,I ST,OTHER,549 I ST,SR445,2021-07-21T00:00:00.000,1845,SPARKS,WASHOE,WASHOE,263646.227199999,4380740.45069999
LVM201200010698,S BUFFALO DR,,S BUFFALO DR,W CACTUS AVE,,W CACTUS AVE,2020-12-03T00:00:00.000,914,,CLARK,CLARK,656670.5881,3985150.97939999
LVM230300101307,S EL CAPITAN WAY,,S EL CAPITAN WAY,PEACE WAY,,PEACE WAY,2023-03-23T00:00:00.000,1924,LAS VEGAS,CLARK,CLARK,654083.300499999,3997222.7234
NHP210100890,MCCARRAN BLVD,,MCCARRAN BLVD,OTHER,PROBASCO WAY,OTHER,2021-01-15T00:00:00.000,943,SPARKS,WASHOE,WASHOE,264555.8178,4382107.85459999
HP19-21303,SUNSET VILLAGE CIR,,SUNSET VILLAGE CIR,EQUINOX RIDGE WAY,,EQUINOX RIDGE WAY,2019-09-25T00:00:00.000,817,HENDERSON,CLARK,CLARK,673788.263299999,3993301.48489999
LVM210400034737,N LAS VEGAS BLVD,,N LAS VEGAS BLVD,STEWART AVE,,STEWART AVE,2021-04-08T00:00:00.000,1624,LAS VEGAS,CLARK,CLARK,667360.6544,4004582.12989999
LVM201000051749,E SILVERADO RANCH BLVD,,E SILVERADO RANCH BLVD,S EASTERN AVE,,S EASTERN AVE,2020-10-11T00:00:00.000,1145,,CLARK,CLARK,669401.782499999,3987061.12079999
HP20-18176,E ROBINDALE RD,,E ROBINDALE RD,S EASTERN AVE,,S EASTERN AVE,2020-10-15T00:00:00.000,1030,HENDERSON,CLARK,CLARK,669509.3025,3991081.49789999
LVM190700000421,FREMONT ST,,FREMONT ST,E OAKEY BLVD,,E OAKEY BLVD,2019-07-01T00:00:00.000,201,LAS VEGAS,CLARK,CLARK,670214.424499999,4002379.8377
SPPD21-2842,12TH ST,,12TH ST,H ST,,H ST,2021-04-09T00:00:00.000,1527,SPARKS,WASHOE,WASHOE,262936.9455,4380476.21099999
LVM220100086036,RACEL ST,,RACEL ST,FINCH FEATHER ST,,FINCH FEATHER ST,2022-01-22T00:00:00.000,917,LAS VEGAS,CLARK,CLARK,653269.7882,4019710.89399999
SPPD21-3512,PRATER WAY,,PRATER WAY,18TH ST,,18TH ST,2021-05-01T00:00:00.000,1207,,,,262198.218299999,4380090.3715
NYSO23NY-0951,OTHER,SR 160,SR160N,OTHER,HOMESTEAD,HOMESTEAD RD,2023-03-18T00:00:00.000,811,PAHRUMP,NYE,NYE,593606.125,4005091.5
