CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
HP22-13087,N WATER ST,,N WATER ST,E LAKE MEAD PKWY,,E LAKE MEAD PKWY,2022-07-06T00:00:00.000,2115,HENDERSON,CLARK,CLARK,,
RPDRP19-3351,N SIERRA ST,,N SIERRA ST,W 9TH ST,,W 9TH ST,2019-02-17T00:00:00.000,832,RENO,WASHOE,WASHOE,257845.7449,4380043.5548
ELPD2022-07309,SPRUCE RD,,SPRUCE RD,NODDLE LN,,NODDLE LN,2022-04-29T00:00:00.000,1804,ELKO,ELKO,ELKO,602089.5136,4521516.78409999
RPD21-17458,SUTRO ST,,SUTRO ST,TIMBER WAY,,TIMBER WAY,2021-09-17T00:00:00.000,2051,RENO,WASHOE,WASHOE,259530.571999999,4381618.1772
NHP201201866,MARTIN L KING BLVD,,MARTIN L KING BLVD,OTHER,US95 NB ON RAMP,OTHER,2020-12-29T00:00:00.000,1323,,CLARK,CLARK,665400.0689,4005019.0403
LVM230400013376,S LAS VEGAS BLVD,,S LAS VEGAS BLVD,CAESARS PALACE DR,,CAESARS PALACE DR,2023-04-04T00:00:00.000,217,,CLARK,CLARK,664440.546699999,3998514.12729999
LVM201100098533,S JONES BLVD,,S JONES BLVD,W HARMON AVE,,W HARMON AVE,2020-11-23T00:00:00.000,1357,,CLARK,CLARK,659770.3369,3997292.74459999
NHP230101716,US50,,US50E,OTHER,DAYTON VALLEY ROAD,DAYTON VALLEY RD,2023-01-20T00:00:00.000,1818,DAYTON,LYON,LYON,276479.282399999,4346119.77229999
NHP230101686,OTHER,E MCCARRAN BLVD,SR659,E LINCOLN WAY,E LICOLN WAY,E LINCOLN WAY,2023-01-20T00:00:00.000,1423,SPARKS,WASHOE,WASHOE,264915.4362,4380011.53539999
LVM221100051824,N BRUCE ST,,N BRUCE ST,HARRIS AVE,,HARRIS AVE,2022-11-14T00:00:00.000,1731,LAS VEGAS,CLARK,CLARK,668588.6293,4005266.13649999
LVM190900050168,VEGAS VALLEY DR,,VEGAS VALLEY DR,PARKDALE AVE,,PARKDALE AVE,2019-09-11T00:00:00.000,712,LAS VEGAS,CLARK,CLARK,673099.1595,4000853.52319999
LVM231100057106,S DURANGO DR,,S DURANGO DR,FLAMINGO RD,,FLAMINGO RD,2023-11-16T00:00:00.000,1318,LAS VEGAS,CLARK,CLARK,654888.986399999,3998062.0435
NLPD1902270004228,E LAKE MEAD SOUTH BLVD,,E LAKE MEAD SOUTH BLVD,N 5TH ST,,N 5TH ST,2019-02-27T00:00:00.000,1856,NORTH LAS VEGAS,CLARK,CLARK,667757.840099999,4007283.8781
CCSO20-2070,WINDTREE CI,,WINDTREE CI,SILVER SAGE DR,,SILVER SAGE DR,2020-04-11T00:00:00.000,1140,CARSON CITY,CARSON CITY,CARSON CITY,261157.1358,4336032.2847
LVM210100063491,S RAINBOW BLVD,,S RAINBOW BLVD,W TWAIN AVE,,W TWAIN AVE,2021-01-14T00:00:00.000,1829,LAS VEGAS,CLARK,CLARK,658117.052799999,3998967.51679999
LVM220300117558,S LAS VEGAS BLVD,,S LAS VEGAS BLVD,WYNN MAIN GATE DR,,WYNN MAIN GATE DR,2022-03-28T00:00:00.000,2014,LAS VEGAS,CLARK,CLARK,667235.0618,4004317.2365
LVM210700123592,E WARM SPRINGS RD,,E WARM SPRINGS RD,S EASTERN AVE,,S EASTERN AVE,2021-07-27T00:00:00.000,2042,LAS VEGAS,CLARK,CLARK,669146.7278,3991922.1118
LVM191000004453,E HACIENDA AVE,,E HACIENDA AVE,DENNING ST,,DENNING ST,2019-10-01T00:00:00.000,2108,LAS VEGAS,CLARK,CLARK,675107.1836,3996014.6774
LVM220500069668,S NELLIS BLVD,,S NELLIS BLVD,OTHER,HAPPY VALLEY AVE,OTHER,2022-05-17T00:00:00.000,2043,LAS VEGAS,CLARK,CLARK,674076.892599999,4000368.67679999
SPPD20-1944,ROCK BL,,ROCK BL,GREENBRAE DR,,GREENBRAE DR,2020-03-02T00:00:00.000,1452,SPARKS,WASHOE,WASHOE,262671.6535,4381165.05049999
LVM210400136830,LUNDSFORD AVE,,LUNDSFORD AVE,S DURANGO DR,,S DURANGO DR,2021-04-30T00:00:00.000,1807,LAS VEGAS,CLARK,CLARK,654876.4313,4004264.1531
LVM190700043257,W WASHINGTON AVE,,W WASHINGTON AVE,FAIRWAY DR,,FAIRWAY DR,2019-07-09T00:00:00.000,1029,LAS VEGAS,CLARK,CLARK,662052.9329,4005537.1247
DCSO22SO22153,US50E TO SR28,,US50E TO SR28,,,,2022-08-26T00:00:00.000,1727,STATELINE,DOUGLAS,DOUGLAS,,
LVM231200004095,E DESERT INN RD,,E DESERT INN RD,S EASTERN AVE,,S EASTERN AVE,2023-12-01T16:00:00.000,514,LAS VEGAS,CLARK,CLARK,669119.6277,3999985.17669999
LVM190800102558,BOULDER HWY,,BOULDER HWY,E RUSSELL RD,,E RUSSELL RD,2019-08-21T00:00:00.000,739,LAS VEGAS,CLARK,CLARK,677155.8793,3995076.27649999
LVM230600001885,NELLIS BLVD,,E CHARLESTON BLVD,E CHARLESTON BLVD,,NELLIS BLVD,2023-05-31T17:00:00.000,1114,LAS VEGAS,CLARK,CLARK,674299.938799999,4003328.25
SPPD19-7915,ROCK BLVD,,ROCK BLVD,PRATER WAY,,PRATER WAY,2019-09-05T00:00:00.000,614,SPARKS,WASHOE,WASHOE,262342.728299999,4380121.96209999
NHP210400958,US95,,US95,OTHER,SR159 SB ON RAMP,OTHER,2021-04-14T00:00:00.000,36,,CLARK,CLARK,671672.8541,4002630.73269999
NHP231200881,MARTIN L KING BLVD,,FRCL54,OTHER,MARTIN L KING BLVD TO US95N INT42A,FRCL54 TO IR11S INT42A,2023-12-14T00:00:00.000,1444,LAS VEGAS,CLARK,CLARK,,
LVM191100043449,FREMONT ST,,FREMONT ST,E OAKEY BLVD,,E OAKEY BLVD,2019-11-10T00:00:00.000,45,LAS VEGAS,CLARK,CLARK,670145.0953,4002452.74719999
LVM191000109425,W CHARLESTON BLVD,,W CHARLESTON BLVD,COMMUNITY COLLEGE DR,,COMMUNITY COLLEGE DR,2019-10-23T00:00:00.000,1519,LAS VEGAS,CLARK,CLARK,659180.813599999,4003053.072
